lesson,word,reading,meaning_vi,meaning_en,type,jlpt
1,私,わたし,tôi,"I, me",Pronoun,N5
1,私たち,わたしたち,"chúng tôi, chúng ta","we, us",Pronoun,N5
1,彼,かれ,"anh ấy, bạn trai","he, boyfriend",Pronoun,N5
1,彼女,かのじょ,"cô ấy, bạn gái","she, girlfriend",Pronoun,N5
1,皆さん,みなさん,"các anh chị, quý vị",everyone,Noun,N5
1,あなた,あなた,"bạn, anh/chị",you,Pronoun,N5
1,あの人,あのひと,người đó,that person,Noun,N5
1,あの方,あのかた,vị kia (lịch sự),that person (polite),Noun,N5
1,教師,きょうし,giáo viên,teacher,Noun,N5
1,先生,せんせい,thầy/cô,teacher,Noun,N5
1,学生,がくせい,"học sinh, sinh viên",student,Noun,N5
1,運転手,うんてんしゅ,tài xế,driver,Noun,N5
1,会社員,かいしゃいん,nhân viên công ty,company employee,Noun,N5
1,社員,しゃいん,nhân viên công ty,employee,Noun,N5
1,銀行員,ぎんこういん,nhân viên ngân hàng,bank employee,Noun,N5
1,医者,いしゃ,bác sĩ,doctor,Noun,N5
1,エンジニア,エンジニア,kỹ sư,engineer,Noun,N5
1,研究者,けんきゅうしゃ,nhà nghiên cứu,researcher,Noun,N5
1,留学生,りゅうがくせい,du học sinh,international student,Noun,N5
1,だれ,だれ,ai,who,Pronoun,N5
1,どなた,どなた,vị nào (lịch sự),who (polite),Pronoun,N5
1,大学,だいがく,đại học,university,Noun,N5
1,病院,びょういん,bệnh viện,hospital,Noun,N5
1,日本,にほん,Nhật Bản,Japan,Proper noun,N5
1,ベトナム,ベトナム,Việt Nam,Vietnam,Proper noun,N5
1,韓国,かんこく,Hàn Quốc,Korea,Proper noun,N5
1,中国,ちゅうごく,Trung Quốc,China,Proper noun,N5
1,アメリカ,アメリカ,Mỹ,America,Proper noun,N5
1,イギリス,イギリス,Anh,"England, UK",Proper noun,N5
1,～人,～じん,người ~,person from ~,Suffix,N5
1,～語,～ご,tiếng ~,language,Suffix,N5
1,出身,しゅっしん,"xuất thân, quê quán","hometown, origin",Noun,N5
1,～から来ました,～からきました,đến từ ~,come from ~,Expression,N5
1,はい,はい,"vâng, dạ",yes,Interjection,N5
1,いいえ,いいえ,không,no,Interjection,N5
1,失礼ですが,しつれいですが,xin lỗi nhưng...,"excuse me, but...",Expression,N5
1,お名前をもう一度お願いします,おなまえをもういちどおねがいします,vui lòng nhắc lại tên,please say your name again,Expression,N5
1,どうぞよろしくお願いします,どうぞよろしくおねがいします,rất mong được giúp đỡ,nice to meet you,Expression,N5
1,そうですか,そうですか,vậy à,I see,Expression,N5
1,お仕事は何ですか,おしごとはなんですか,công việc của bạn là gì,what is your job?,Expression,N5
2,これ,これ,"cái này, đây",this,Pronoun,N5
2,それ,それ,"cái đó, đó",that,Pronoun,N5
2,あれ,あれ,"cái kia, kia",that over there,Pronoun,N5
2,この～,この,~ này,this ~,Determiner,N5
2,その～,その,~ đó,that ~,Determiner,N5
2,あの～,あの,~ kia,that ~ over there,Determiner,N5
2,パソコン,パソコン,máy tính cá nhân,personal computer,Noun,N5
2,携帯,けいたい,điện thoại di động,mobile phone,Noun,N5
2,電話,でんわ,điện thoại,telephone,Noun,N5
2,アイフォン,アイフォン,iPhone,iPhone,Noun,N5
2,充電器,じゅうでんき,sạc pin,charger,Noun,N5
2,ヘッドフォン,ヘッドフォン,tai nghe,headphones,Noun,N5
2,カメラ,カメラ,máy ảnh,camera,Noun,N5
2,テレビ,テレビ,tivi,television,Noun,N5
2,車,くるま,"ô tô, xe hơi",car,Noun,N5
2,時計,とけい,đồng hồ,"clock, watch",Noun,N5
2,ペン,ペン,bút,pen,Noun,N5
2,ボールペン,ボールペン,bút bi,ballpoint pen,Noun,N5
2,鉛筆,えんぴつ,bút chì,pencil,Noun,N5
2,シャープペンシル,シャープペンシル,bút chì kim,mechanical pencil,Noun,N5
2,消しゴム,けしゴム,tẩy,eraser,Noun,N5
2,本,ほん,sách,book,Noun,N5
2,ノート,ノート,vở,notebook,Noun,N5
2,手帳,てちょう,sổ tay,"notebook, planner",Noun,N5
2,辞書,じしょ,từ điển,dictionary,Noun,N5
2,新聞,しんぶん,báo,newspaper,Noun,N5
2,雑誌,ざっし,tạp chí,magazine,Noun,N5
2,名刺,めいし,danh thiếp,business card,Noun,N5
2,カード,カード,"thẻ, card",card,Noun,N5
2,クレジットカード,クレジットカード,thẻ tín dụng,credit card,Noun,N5
2,帽子,ぼうし,mũ,"hat, cap",Noun,N5
2,財布,さいふ,ví,wallet,Noun,N5
2,かばん,かばん,"cặp sách, túi",bag,Noun,N5
2,靴,くつ,giày,shoes,Noun,N5
2,スリッパ,スリッパ,dép đi trong nhà,slippers,Noun,N5
2,靴下,くつした,tất,socks,Noun,N5
2,鍵,かぎ,chìa khóa,key,Noun,N5
2,傘,かさ,"ô, dù",umbrella,Noun,N5
2,机,つくえ,cái bàn,desk,Noun,N5
2,椅子,いす,cái ghế,chair,Noun,N5
2,英語,えいご,tiếng Anh,English language,Noun,N5
2,何,なに,cái gì,what,Pronoun,N5
2,そう,そう,đúng vậy,"so, that’s right",Expression,N5
2,違います,ちがいます,"không phải, sai rồi","to be wrong, differ",Verb,N5
2,ほんの気持ち,ほんのきもち,chút lòng thành,a small gift/token,Expression,N5
3,ここ,ここ,"chỗ này, đây",here,Pronoun,N5
3,そこ,そこ,"chỗ đó, đó",there,Pronoun,N5
3,あそこ,あそこ,"chỗ kia, kia",over there,Pronoun,N5
3,どこ,どこ,"chỗ nào, đâu",where,Pronoun,N5
3,こちら,こちら,phía này,this way,Pronoun,N5
3,そちら,そちら,phía đó,that way,Pronoun,N5
3,あちら,あちら,phía kia,over there,Pronoun,N5
3,どちら,どちら,phía nào,"which way, where",Pronoun,N5
3,受付,うけつけ,quầy lễ tân,reception desk,Noun,N5
3,フロント,フロント,quầy lễ tân,front desk,Noun,N5
3,階段,かいだん,cầu thang,stairs,Noun,N5
3,エレベーター,エレベーター,thang máy,elevator,Noun,N5
3,エスカレーター,エスカレーター,thang cuốn,escalator,Noun,N5
3,お手洗い,おてあらい,phòng vệ sinh,restroom,Noun,N5
3,トイレ,トイレ,phòng vệ sinh,toilet,Noun,N5
3,うち,うち,nhà,home,Noun,N5
3,いえ,いえ,nhà,"house, home",Noun,N5
3,部屋,へや,căn phòng,room,Noun,N5
3,教室,きょうしつ,phòng học,classroom,Noun,N5
3,事務所,じむしょ,văn phòng,office,Noun,N5
3,会議室,かいぎしつ,phòng họp,meeting room,Noun,N5
3,食堂,しょくどう,nhà ăn,cafeteria,Noun,N5
3,ビル,ビル,tòa nhà,building,Noun,N5
3,デパート,デパート,trung tâm thương mại,department store,Noun,N5
3,スーパー,スーパー,siêu thị,supermarket,Noun,N5
3,センター,センター,trung tâm,center,Noun,N5
3,映画館,えいがかん,rạp chiếu phim,movie theater,Noun,N5
3,喫茶店,きっさてん,"quán trà, cà phê",coffee shop,Noun,N5
3,図書館,としょかん,thư viện,library,Noun,N5
3,会社,かいしゃ,công ty,company,Noun,N5
3,学校,がっこう,trường học,school,Noun,N5
3,郵便局,ゆうびんきょく,bưu điện,post office,Noun,N5
3,銀行,ぎんこう,ngân hàng,bank,Noun,N5
3,バスてい,バスてい,trạm xe bus,bus stop,Noun,N5
3,駅,えき,nhà ga,station,Noun,N5
3,お国,おくに,đất nước (của anh/chị),your country,Noun,N5
3,いくら,いくら,bao nhiêu tiền,how much,Adverb,N5
3,円,えん,yên,yen,Noun,N5
4,イケメン,イケメン,đẹp trai,handsome guy,Noun,N5
4,綺麗 [な],きれい [な],"xinh, đẹp, sạch","beautiful, clean",Na-adjective,N5
4,親切 [な],しんせつ [な],tốt bụng,kind,Na-adjective,N5
4,元気 [な],げんき [な],khỏe mạnh,"healthy, energetic",Na-adjective,N5
4,静か [な],しずか [な],yên tĩnh,quiet,Na-adjective,N5
4,賑やか [な],にぎやか [な],náo nhiệt,lively,Na-adjective,N5
4,有名 [な],ゆうめい [な],nổi tiếng,famous,Na-adjective,N5
4,便利 [な],べんり [な],tiện lợi,convenient,Na-adjective,N5
4,大切 [な],たいせつ [な],quan trọng,important,Na-adjective,N5
4,暇 [な],ひま [な],rảnh rỗi,"free, available",Na-adjective,N5
4,忙しい,いそがしい,bận rộn,busy,I-adjective,N5
4,大きい,おおきい,"to, lớn",big,I-adjective,N5
4,小さい,ちいさい,"nhỏ, bé",small,I-adjective,N5
4,新しい,あたらしい,mới,new,I-adjective,N5
4,古い,ふるい,cũ,old,I-adjective,N5
4,いい（よい）,いい（よい）,tốt,good,I-adjective,N5
4,悪い,わるい,xấu,bad,I-adjective,N5
4,暑い,あつい,nóng (thời tiết),hot (weather),I-adjective,N5
4,寒い,さむい,"lạnh, rét",cold (weather),I-adjective,N5
4,熱い,あつい,nóng (cảm giác),hot (touch/feeling),I-adjective,N5
4,冷たい,つめたい,"lạnh, buốt",cold (touch),I-adjective,N5
4,難しい,むずかしい,khó,difficult,I-adjective,N5
4,易しい / 優しい,やさしい,dễ / hiền lành,easy / kind,I-adjective,N5
4,高い,たかい,"đắt, cao","expensive, tall",I-adjective,N5
4,安い,やすい,rẻ,cheap,I-adjective,N5
4,低い,ひくい,thấp,low,I-adjective,N5
4,明るい,あかるい,"sáng sủa, tươi sáng",bright,I-adjective,N5
4,暗い,くらい,"tối, u ám",dark,I-adjective,N5
4,面白い,おもしろい,thú vị,interesting,I-adjective,N5
4,可愛い,かわいい,dễ thương,cute,I-adjective,N5
4,美味しい,おいしい,ngon,delicious,I-adjective,N5
4,楽しい,たのしい,vui vẻ,"enjoyable, fun",I-adjective,N5
4,白い,しろい,trắng,white,I-adjective,N5
4,赤い,あかい,đỏ,red,I-adjective,N5
4,青い,あおい,xanh,blue,I-adjective,N5
4,黒い,くろい,đen,black,I-adjective,N5
