Id,Kanji,Han-Viet Pronunciation,Kun,On,Meaning,Word 1,Word 2,Word 3,MemoryTip,StrokeCount,Level,Image,Bộ thủ chính
,会,Hội,"あ.う","カイ・エ",Gặp gỡ,会う【あう】gặp gỡ,会社【かいしゃ】công ty,会議【かいぎ】cuộc họp,Người (人) tụ tập lại (云) để gặp gỡ,6,N4,,人
,歩,Bộ,"ある.く・あゆ.む","ホ・ブ・フ",Đi bộ,歩く【あるく】đi bộ,散歩【さんぽ】đi dạo,進歩【しんぽ】tiến bộ,Dừng lại (止) một chút (少) rồi đi bộ tiếp,8,N4,,止
,急,Cấp,"いそ.ぐ","キュウ",Vội vàng,急ぐ【いそぐ】vội vàng,急行【きゅうこう】tàu tốc hành,急に【きゅうに】đột nhiên,Trái tim (心) gấp gáp như bị dao chém (⺈),9,N4,,心
,切,Thiết,"き.る・き.れる","セツ・サイ",Cắt,切る【きる】cắt,切符【きっぷ】vé,親切【しんせつ】tốt bụng,Dùng đao (刀) cắt số bảy (七) ra làm đôi,4,N4,,刀
,習,Tập,"なら.う","シュウ・ジュ",Học tập,習う【ならう】học,練習【れんしゅう】luyện tập,習慣【しゅうかん】thói quen,Lông chim (羽) màu trắng (白) tập bay lên,11,N4,,羽
,歌,Ca,"うた・うた.う","カ",Bài hát,歌う【うたう】hát,歌手【かしゅ】ca sĩ,国歌【こっか】quốc ca,Anh trai (兄) khiếm khuyết (欠) đang há miệng hát,14,N4,,欠
,終,Chung,"お.わる・お.える","シュウ",Kết thúc,終わる【おわる】kết thúc,終電【しゅうでん】chuyến tàu cuối,最終【さいしゅう】cuối cùng,Cuộn chỉ (糸) mùa đông (冬) đã kết thúc,11,N4,,糸
,社,Xã,"やしろ","シャ・ジャ",Công ty,会社【かいしゃ】công ty,社会【しゃかい】xã hội,神社【じんじゃ】đền thờ,Cầu nguyện (示) trên đất (土) lập ra đền thờ/xã hội,7,N4,,示
,銀,Ngân,"しろがね","ギン",Bạc,銀行【ぎんこう】ngân hàng,銀色【ぎんいろ】màu bạc,水銀【すいぎん】thủy ngân,Tiền kim loại (金) tốt (艮) chính là bạc,14,N4,,金
,医,Y,"いやす","イ",Y học,医者【いしゃ】bác sĩ,医学【いがく】y học,歯医者【はいしゃ】nha sĩ,Bác sĩ để mũi tên (矢) trong hộp (匚) trị bệnh,7,N4,,匚
,病,Bệnh,"やむ・やまい","ビョウ",Bệnh tật,病気【びょうき】bệnh tật,病院【びょういん】bệnh viện,急病【きゅうびょう】bệnh cấp tính,Nằm giường bệnh (疒) ở thứ ba (丙),10,N4,,疒
,院,Viện,"","イン",Viện,病院【びょういん】bệnh viện,大学院【だいがくいん】cao học,入院【にゅういん】nhập viện,Tường (阝) bao quanh nơi hoàn thành (完) là viện,10,N4,,阜
,国,Quốc,"くに","コク",Đất nước,国【くに】đất nước,外国【がいこく】nước ngoài,国際【こくさい】quốc tế,Biên giới (囗) bao quanh viên ngọc (玉) của vua,8,N4,,囗
,世,Thế,"よ","セ・セイ",Thế giới,世界【せかい】thế giới,世話【せわ】sự chăm sóc,世紀【せいき】thế kỷ,Mười (十) cộng hai mươi (廿) là ba mươi thế hệ,5,N4,,一
,界,Giới,"","カイ",Thế giới,世界【せかい】thế giới,限界【げんかい】giới hạn,境界【きょうかい】ranh giới,Ranh giới cánh đồng (田) bị kẹp giữa (介),9,N4,,田
,教,Giáo,"おし.える・おそ.わる","キョウ",Dạy học,教える【おしえる】giảng dạy,教室【きょうしつ】phòng học,教育【きょういく】giáo dục,Đứa trẻ (子) bị đánh (攵) để học hiếu thảo (孝),11,N4,,攴
,研,Nghiên,"と.ぐ","ケン",Nghiên cứu,研究【けんきゅう】nghiên cứu,研究者【けんきゅうしゃ】nhà nghiên cứu,研修【けんしゅう】thực tập,Dùng đá (石) mài bằng phẳng (干) để nghiên cứu,9,N4,,石
,究,Cứu,"きわ.める","キュウ",Nghiên cứu sâu,研究【けんきゅう】nghiên cứu,究明【きゅうめい】làm rõ,探究【たんきゅう】theo đuổi,Chín (九) cái lỗ (穴) bí ẩn cần được nghiên cứu,7,N4,,穴
,売,Mại,"う.る・う.れる","バイ",Bán,売る【うる】bán,売り場【うりば】quầy hàng,販売【はんばい】buôn bán,Sĩ (士) đội vương miện (冖) bán đôi chân (儿),7,N4,,士
,働,Động,"はたら.く","ドウ",Làm việc,働く【はたらく】làm việc,労働【ろうどう】lao động,働きすぎ【はたらきすぎ】làm việc quá sức,Người (亻) vận động (動) là đang làm việc,13,N4,,人
,勉,Miễn,"つと.める","ベン",Cố gắng,勉強【べんきょう】học,勤勉【きんべん】chăm chỉ,勉強家【べんきょうか】người chăm học,Cố gắng (免) dùng sức lực (力) để miễn cưỡng học,10,N4,,力
,強,Cường,"つよ.い・つよ.まる","キョウ・ゴウ",Mạnh mẽ,強い【つよい】khỏe/mạnh mẽ,勉強【べんきょう】học,強調【きょうちょう】nhấn mạnh,Cung (弓) của côn trùng (虫) rất mạnh mẽ,11,N4,,弓
,泳,Vịnh,"およ.ぐ","エイ",Bơi lội,泳ぐ【およぐ】bơi,水泳【すいえい】môn bơi lội,競泳【きょうえい】thi bơi,Vĩnh viễn (永) bơi dưới nước (氵),8,N4,,水
,部,Bộ,"","ブ",Bộ phận,部屋【へや】phòng,全部【ぜんぶ】toàn bộ,部長【ぶちょう】trưởng phòng,Đứng (立) ở miệng (口) vùng đất (阝) là bộ phận,11,N4,,邑
,屋,Ốc,"や","オク",Nhà/Cửa hàng,部屋【へや】phòng,屋上【おくじょう】tầng thượng,本屋【ほんや】hiệu sách,Thi thể (尸) đến (至) cửa hàng nằm,9,N4,,尸
,室,Thất,"むろ","シツ",Phòng,教室【きょうしつ】phòng học,会議室【かいぎしつ】phòng họp,和室【わしつ】phòng kiểu Nhật,Đến (至) mái nhà (宀) bước vào phòng,9,N4,,宀
,場,Trường,"ば","ジョウ",Địa điểm,場所【ばしょ】địa điểm,売り場【うりば】quầy hàng,駐車場【ちゅうしゃじょう】bãi đỗ xe,Đất (土) có mặt trời (日) chiếu sáng là quảng trường,12,N4,,土
,所,Sở,"ところ","ショ",Nơi chốn,所【ところ】nơi/chỗ,住所【じゅうしょ】địa chỉ,事務所【じむしょ】văn phòng,Cửa (戸) bị rìu (斤) chặt là nơi chốn,8,N4,,戸
,図,Đồ,"はか.る","ズ・ト",Bản đồ,地図【ちず】bản đồ,図書館【としょかん】thư viện,図【ず】hình minh họa,Trong vòng bao (囗) có điểm đánh dấu chéo,7,N4,,囗
,館,Quán,"やかた","カン",Tòa nhà,図書館【としょかん】thư viện,映画館【えいがかん】rạp chiếu phim,旅館【りょかん】nhà trọ,Nơi ăn (食) của quan (官) là tòa quán,16,N4,,食
,家,Gia,"いえ・や","カ・ケ",Nhà,家【いえ】nhà,家族【かぞく】gia đình,家賃【やちん】tiền nhà,Con lợn (豕) nằm dưới mái nhà (宀) là gia đình,10,N4,,宀
,族,Tộc,"","ゾク",Gia tộc,家族【かぞく】gia đình,民族【みんぞく】dân tộc,水族館【すいぞくかん】thủy cung,Dưới cờ (方) bắn mũi tên (矢) bảo vệ gia tộc,11,N4,,方
,毎,Mỗi,"ごと","マイ",Mỗi,毎日【まいにち】mỗi ngày,毎朝【まいあさ】mỗi sáng,毎月【まいつき】mỗi tháng,Mẹ (母) mỗi ngày đều đội chiếc nón (𠂉),6,N4,,母
,朝,Triều,"あさ","チョウ",Buổi sáng,朝【あさ】buổi sáng,朝ごはん【あさごはん】bữa sáng,今朝【けさ】sáng nay,Mặt trăng (月) lặn nhường chỗ cho mặt trời (日) mọc,12,N4,,月
,昼,Trú,"ひる","チュウ",Buổi trưa,昼【ひる】buổi trưa,昼休み【ひるやすみ】nghỉ trưa,昼食【ちゅうしょく】bữa trưa,Thước (尺) đo mặt trời (日) lúc buổi trưa,9,N4,,日
,晩,Vãn,"くれ","バン",Buổi tối,晩【ばん】buổi tối,今晩【こんばん】tối nay,毎晩【まいばん】mỗi tối,Mặt trời (日) thoát (免) khỏi bầu trời là buổi tối,12,N4,,日
,夜,Dạ,"よる・よ","ヤ",Ban đêm,夜【よる】buổi đêm,今夜【こんや】đêm nay,夜行バス【やこうバス】xe buýt chạy đêm,Con người (亻) và mặt trăng (夕) ban đêm,8,N4,,夕
,午,Ngọ,"","ゴ",Buổi trưa (Ngọ),午前【ごぜん】buổi sáng,午後【ごご】buổi chiều,正午【しょうご】giữa trưa,Con trâu (牛) bị cụt đầu lúc giữa trưa,4,N4,,十
,後,Hậu,"あと・うし.ろ","ゴ・コウ",Phía sau,後ろ【うしろ】phía sau,午後【ごご】buổi chiều,最後【さいご】cuối cùng,Đi lùi (彳) từng bước (幺) về phía sau (夂),9,N4,,彳
,前,Tiền,"まえ","ゼン",Phía trước,前【まえ】phía trước,午前【ごぜん】buổi sáng,名前【なまえ】tên,Cầm dao (刂) đi lên trước mặt trăng (月),9,N4,,刀
,週,Chu,"","シュウ",Tuần,先週【せんしゅう】tuần trước,今週【こんしゅう】tuần này,来週【らいしゅう】tuần sau,Chu vi (周) đường đi (辶) của 1 tuần,11,N4,,辵
,試,Thí,"こころ.みる・ため.す","シ",Thử nghiệm,試験【しけん】kỳ thi,試合【しあい】trận đấu,試食【ししょく】ăn thử,Dùng lời nói (言) và mô hình (式) để thử nghiệm,13,N4,,言
,験,Nghiệm,"ため.す","ケン・ゲン",Kiểm tra,試験【しけん】kỳ thi,経験【けいけん】kinh nghiệm,実験【じっけん】thí nghiệm,Ngựa (馬) cùng nhau (合) kiểm tra độ bền,18,N4,,馬
,映,Ánh,"うつ.る・うつ.す","エイ",Chiếu sáng,映画【えいが】bộ phim,映画館【えいがかん】rạp chiếu phim,反映【はんえい】phản ánh,Mặt trời (日) ở trung tâm (央) chiếu sáng,9,N4,,日
,画,Họa,"えが.く","ガ・カク",Bức tranh,映画【えいが】bộ phim,計画【けいかく】kế hoạch,画家【がか】họa sĩ,Khuôn khổ (田) để vẽ nên bức tranh,8,N4,,田
,宿,Túc,"やど・やど.る","シュク",Nhà trọ,宿題【しゅくだい】bài tập về nhà,宿泊【しゅくはく】ngủ lại/trọ lại,宿【やど】chỗ trọ,Người (亻) mang một trăm (百) tới nhà (宀) trọ,11,N4,,宀
,持,Trì,"も.つ","ジ",Cầm/Mang,持つ【もつ】mang/cầm,持っていく【もっていく】mang đi,気持ち【きもち】cảm xúc,Tay (扌) cầm đồ đem đến nộp cho chùa (寺),9,N4,,手
,使,Sử,"つか.う","シ",Sử dụng,使う【つかう】sử dụng,使用禁止【しようきんし】cấm sử dụng,使用中【しようちゅう】đang sử dụng,Người (亻) được phái đi làm quan lại (吏),8,N4,,人
,止,Chỉ,"と.まる・と.める","シ",Dừng lại,止まる【とまる】dừng lại,中止【ちゅうし】hủy bỏ,立入禁止【たちいりきんし】cấm vào,Chân đạp lên đất để dừng lại,4,N4,,止
,住,Trú,"す.む・す.まう","ジュウ",Sinh sống,住む【すむ】sống,住所【じゅうしょ】địa chỉ,住宅【じゅうたく】nhà ở,Người (亻) làm chủ (主) nơi mình sinh sống,7,N4,,人
