title,lessonId,jlpt,turns
Dự định đi du lịch,26,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""明日"",""reading"":""あした""},{""text"":""から、""},{""kanji"":""旅行"",""reading"":""りょこう""},{""text"":""に""},{""kanji"":""行"",""reading"":""い""},{""text"":""きます。""}],""vi"":""Từ ngày mai tôi sẽ đi du lịch.""},{""speaker"":""B"",""segments"":[{""text"":""いいですね. どこへ""},{""kanji"":""行"",""reading"":""い""},{""text"":""くんですか？""}],""vi"":""Hay quá nhỉ. Bạn định đi đâu thế?""}]"
Hỏi thăm sức khỏe,26,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""元気"",""reading"":""げんき""},{""text"":""じゃありませんね。どうしたんですか？""}],""vi"":""Trông bạn không được khỏe nhỉ. Có chuyện gì vậy?""},{""speaker"":""B"",""segments"":[{""kanji"":""頭"",""reading"":""あたま""},{""text"":""が""},{""kanji"":""痛"",""reading"":""いた""},{""text"":""いんです。""}],""vi"":""Tôi bị đau đầu.""}]"
Lý do học tiếng Nhật,26,N4,"[{""speaker"":""A"",""segments"":[{""text"":""どうして""},{""kanji"":""日本語"",""reading"":""にほんご""},{""text"":""を""},{""kanji"":""勉強"",""reading"":""べんきょう""},{""text"":""しているんですか？""}],""vi"":""Tại sao bạn lại đang học tiếng Nhật vậy?""},{""speaker"":""B"",""segments"":[{""kanji"":""日本"",""reading"":""にほん""},{""text"":""へ""},{""kanji"":""行"",""reading"":""い""},{""text"":""きたいんです。""}],""vi"":""Vì tôi muốn đi Nhật.""}]"
Nhờ vả dạy tiếng Việt,26,N4,"[{""speaker"":""A"",""segments"":[{""text"":""ベトナム""},{""kanji"":""語"",""reading"":""ご""},{""text"":""を""},{""kanji"":""勉強"",""reading"":""べんきょう""},{""text"":""したいんですが、""},{""kanji"":""教"",""reading"":""おし""},{""text"":""えていただけませんか？""}],""vi"":""Tôi muốn học tiếng Việt, bạn có thể dạy cho tôi được không?""},{""speaker"":""B"",""segments"":[{""text"":""はい、もちろんです！""}]}]"
Hỏi đường đi Hoàn Kiếm,26,N4,"[{""speaker"":""A"",""segments"":[{""text"":""ホアンキエムへ""},{""kanji"":""行"",""reading"":""い""},{""text"":""きたいんですが、どうしたらいいですか？""}],""vi"":""Tôi muốn đi đến Hồ Hoàn Kiếm, tôi nên làm thế nào ạ?""},{""speaker"":""B"",""segments"":[{""text"":""タクシーに""},{""kanji"":""乗"",""reading"":""の""},{""text"":""ったらいいですよ。""}],""vi"":""Bạn nên đi taxi thì tốt đấy.""}]"
Khi nào báo cáo xong?,27,N4,"[{""speaker"":""A"",""segments"":[{""text"":""レポートは ""},{""kanji"":""いつ"",""reading"":""いつ""},{""text"":"" ""},{""kanji"":""でき"",""reading"":""でき""},{""text"":""ますか？""}],""vi"":""Khi nào thì báo cáo xong vậy?""},{""speaker"":""B"",""segments"":[{""kanji"":""明日"",""reading"":""あした""},{""text"":"" ""},{""kanji"":""でき"",""reading"":""でき""},{""text"":""ます。""}],""vi"":""Ngày mai sẽ xong.""}]"
Đọc chữ Hán,27,N4,"[{""speaker"":""A"",""segments"":[{""text"":""これ ""},{""kanji"":""読"",""reading"":""よ""},{""text"":""めますか？""}],""vi"":""Bạn có đọc được cái này không?""},{""speaker"":""B"",""segments"":[{""text"":""はい、""},{""kanji"":""読"",""reading"":""よ""},{""text"":""めますよ。""}],""vi"":""Vâng, tôi đọc được.""}]"
Khả năng ngoại ngữ,27,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""外国語"",""reading"":""がいこくご""},{""text"":""が ""},{""kanji"":""話"",""reading"":""はな""},{""text"":""せますか？""}],""vi"":""Bạn có thể nói được ngoại ngữ không?""},{""speaker"":""B"",""segments"":[{""kanji"":""日本語"",""reading"":""にほんご""},{""text"":""は ""},{""kanji"":""話"",""reading"":""はな""},{""text"":""せますが、ベトナム""},{""kanji"":""語"",""reading"":""ご""},{""text"":""は ""},{""kanji"":""話"",""reading"":""はな""},{""text"":""せません。""}],""vi"":""Tiếng Nhật thì tôi có thể nói, nhưng tiếng Việt thì không.""}]"
Đánh giá nhà hàng,28,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""人"",""reading"":""ひと""},{""text"":""が ""},{""kanji"":""多"",""reading"":""おお""},{""text"":""いですね。""}],""vi"":""Đông người nhỉ.""},{""speaker"":""B"",""segments"":[{""text"":""そうですね！このレストランは、""},{""kanji"":""安"",""reading"":""やす""},{""text"":""いし、""},{""kanji"":""美味"",""reading"":""おい""},{""text"":""しいし...""}],""vi"":""Đúng vậy nhỉ! Nhà hàng này vừa rẻ, vừa ngon...""}]"
Lý do hẹn hò,28,N4,"[{""speaker"":""A"",""segments"":[{""text"":""どうして""},{""kanji"":""彼"",""reading"":""かれ""},{""text"":""と""},{""kanji"":""付"",""reading"":""つ""},{""text"":""き""},{""kanji"":""合"",""reading"":""あ""},{""text"":""っているんですか？""}],""vi"":""Tại sao bạn lại đang hẹn hò với anh ấy vậy?""},{""speaker"":""B"",""segments"":[{""text"":""かっこいいし、""},{""kanji"":""優"",""reading"":""やさ""},{""text"":""しいし、""},{""kanji"":""素敵"",""reading"":""すてき""},{""text"":""な""},{""kanji"":""人"",""reading"":""ひと""},{""text"":""ですから。""}],""vi"":""Vì anh ấy vừa đẹp trai, hiền lành lại là một người tuyệt vời.""}]"
