lesson,order,title,jlpt,type,pattern,meaning_vi,usage,notes,examples,quiz
1,1,Câu khẳng định danh từ,N5,basic,N1 は N2 です。,N1 là N2,"Dùng để xác định danh tính, nghề nghiệp hoặc quốc tịch.","Trợ từ は đọc là ""wa"".","[{""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は""}, {""kanji"": ""森"", ""reading"": ""もり""}, {""text"": ""です。""}], ""vi"": ""Tôi là Mori.""}, {""segments"": [{""text"": ""キムさんは""}, {""kanji"": ""医者"", ""reading"": ""いしゃ""}, {""text"": ""です。""}], ""vi"": ""Anh Kim là bác sĩ.""}]","[{""question"": {""segments"": [{""text"": ""わたし ""}, {""text"": "" ___ ""}, {""kanji"": ""森"", ""reading"": ""もり""}, {""text"": ""です。""}]}, ""choices"": [""は"", ""が"", ""を""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""あの""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""は ""}, {""kanji"": ""韓国人"", ""reading"": ""かんこくじん""}, {""text"": "" ___ 。""}]}, ""choices"": [""です"", ""あります"", ""します""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""キムさんは ""}, {""kanji"": ""医者"", ""reading"": ""いしゃ""}, {""text"": "" ___ 。""}]}, ""choices"": [""です"", ""ます"", ""ました""], ""answer"": 0}]"
1,2,Câu phủ định danh từ,N5,basic,N1 は N2 ではありません/ じゃありません。,N1 không phải là N2,Dùng để phủ định một danh tính hoặc tính chất của chủ ngữ.,"Trong hội thoại hàng ngày thường dùng ""じゃありません"".","[{""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は""}, {""kanji"": ""銀行員"", ""reading"": ""ぎんこういん""}, {""text"": ""じゃありません。""}], ""vi"": ""Tôi không phải nhân viên ngân hàng.""}, {""segments"": [{""text"": ""あの""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""はチャンさんじゃありません。""}], ""vi"": ""Người đó không phải là bạn Chan.""}]","[{""question"": {""segments"": [{""text"": ""わたしは ""}, {""kanji"": ""銀行員"", ""reading"": ""ぎんこういん""}, {""text"": "" ___ 。""}]}, ""choices"": [""です"", ""じゃありません"", ""あります""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""あの""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""は チャンさん ___ 。""}]}, ""choices"": [""です"", ""じゃありません"", ""ました""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""かのじょは アメリカじん ___ 。""}]}, ""choices"": [""です"", ""じゃありません"", ""ません""], ""answer"": 1}]"
1,3,Câu nghi vấn (Câu hỏi Có/Không),N5,basic,N1 は N2 ですか。,N1 có phải là N2 không?,Dùng để xác nhận thông tin.,"Khi trả lời, dùng ""はい"" (vâng) hoặc ""いいえ"" (không).","[{""segments"": [{""text"": ""ミンさんはベトナム""}, {""kanji"": ""人"", ""reading"": ""じん""}, {""text"": ""ですか。""}], ""vi"": ""Bạn Minh là người Việt Nam phải không?""}, {""segments"": [{""kanji"": ""彼"", ""reading"": ""かれ""}, {""text"": ""はエンジニアですか。""}], ""vi"": ""Anh ấy là kỹ sư phải không?""}]","[{""question"": {""segments"": [{""text"": ""ミンさんは ベトナムじん ___ 。""}]}, ""choices"": [""です"", ""か"", ""ですか""], ""answer"": 2}, {""question"": {""segments"": [{""kanji"": ""彼"", ""reading"": ""かれ""}, {""text"": ""は エンジニア ___ 。""}]}, ""choices"": [""か"", ""ですか"", ""です""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""あの""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""は リンさん ___ 。""}]}, ""choices"": [""は"", ""の"", ""ですか""], ""answer"": 2}]"
1,4,Câu hỏi có từ để hỏi,N5,basic,N1 は [Từ để hỏi] ですか。,N1 là [ai/cái gì/bao nhiêu...]?,"Dùng khi muốn biết thông tin cụ thể (tên, tuổi, đó là ai).","Các từ thường gặp: だれ (ai), なん (cái gì), おいくつ (bao nhiêu tuổi).","[{""segments"": [{""text"": ""お""}, {""kanji"": ""名前"", ""reading"": ""なまえ""}, {""text"": ""は？""}], ""vi"": ""Tên bạn là gì?""}, {""segments"": [{""text"": ""あの""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""はだれですか。""}], ""vi"": ""Người kia là ai?""}]","[{""question"": {""segments"": [{""text"": ""あの""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""は ___ ですか。""}]}, ""choices"": [""だれ"", ""なん"", ""どこ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""お""}, {""kanji"": ""名前"", ""reading"": ""なまえ""}, {""text"": ""は ___ ですか。""}]}, ""choices"": [""なん"", ""だれ"", ""どこ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""リン""}, {""kanji"": ""先生"", ""reading"": ""せんせい""}, {""text"": ""は ___ ですか。""}]}, ""choices"": [""おいくつ"", ""だれ"", ""どこ""], ""answer"": 0}]"
1,5,Trợ từ も (Cũng),N5,basic,N1 も N2 です。,N1 cũng là N2,Dùng khi N1 có cùng đặc điểm/tính chất với một đối tượng trước đó.,Trợ từ も thay thế hoàn toàn cho は trong câu.,"[{""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は""}, {""kanji"": ""学生"", ""reading"": ""がくせい""}, {""text"": ""です。チャンさんも""}, {""kanji"": ""学生"", ""reading"": ""がくせい""}, {""text"": ""です。""}], ""vi"": ""Tôi là sinh viên. Bạn Chan cũng là sinh viên.""}]","[{""question"": {""segments"": [{""text"": ""わたしは ""}, {""kanji"": ""学生"", ""reading"": ""がくせい""}, {""text"": ""です。チャンさん ___ ""}, {""kanji"": ""学生"", ""reading"": ""がくせい""}, {""text"": ""です。""}]}, ""choices"": [""は"", ""も"", ""の""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""キムさんは ""}, {""kanji"": ""韓国人"", ""reading"": ""かんこくじん""}, {""text"": ""です. パクさん ___ ""}, {""kanji"": ""韓国人"", ""reading"": ""かんこくじん""}, {""text"": ""です。""}]}, ""choices"": [""も"", ""は"", ""の""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""ミラーさんは ""}, {""kanji"": ""会社員"", ""reading"": ""かいしゃいん""}, {""text"": ""です. サントスさん ___ ""}, {""kanji"": ""会社員"", ""reading"": ""かいしゃいん""}, {""text"": ""です。""}]}, ""choices"": [""も"", ""は"", ""を""], ""answer"": 0}]"
1,6,Trợ từ の (Sở hữu/Thuộc về),N5,basic,N1 の N2,N2 của N1,"Biểu thị N1 là cơ quan, tổ chức, đoàn thể... mà N2 thuộc về.",Trợ từ の đóng vai trò nối hai danh từ với nhau.,"[{""segments"": [{""text"": ""ズン""}, {""kanji"": ""森"", ""reading"": ""もり""}, {""text"": ""の""}, {""kanji"": ""学生"", ""reading"": ""がくせい""}], ""vi"": ""Học sinh của Dũng Mori""}, {""segments"": [{""text"": ""ハノイ""}, {""kanji"": ""大学"", ""reading"": ""だいがく""}, {""text"": ""の""}, {""kanji"": ""学生"", ""reading"": ""がくせい""}], ""vi"": ""Sinh viên của đại học Hà Nội""}]","[{""question"": {""segments"": [{""text"": ""わたしは IMC ___ ""}, {""kanji"": ""社員"", ""reading"": ""しゃいん""}, {""text"": ""です。""}]}, ""choices"": [""の"", ""は"", ""も""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""ズン""}, {""kanji"": ""森"", ""reading"": ""もり""}, {""text"": "" ___ がくせい。""}]}, ""choices"": [""は"", ""の"", ""も""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""ハノイ""}, {""kanji"": ""大学"", ""reading"": ""だいがく""}, {""text"": "" ___ ""}, {""kanji"": ""学生"", ""reading"": ""がくせい""}, {""text"": ""。""}]}, ""choices"": [""の"", ""は"", ""も""], ""answer"": 0}]"
2,1,Chỉ định từ Kore/Sore/Are,N5,basic,これ／それ／あれ は N です。,Cái này/đó/kia là N,Dùng làm đại từ chỉ đồ vật dựa trên khoảng cách với người nói và người nghe.,これ: gần người nói; それ: gần người nghe; あれ: xa cả hai.,"[{""segments"": [{""text"": ""これは""}, {""kanji"": ""本"", ""reading"": ""ほん""}, {""text"": ""です。""}], ""vi"": ""Đây là quyển sách.""}, {""segments"": [{""text"": ""あれはテレビです。""}], ""vi"": ""Kia là cái tivi.""}]","[{""question"": {""segments"": [{""text"": "" ___ は ""}, {""kanji"": ""机"", ""reading"": ""つくえ""}, {""text"": ""です。""}]}, ""choices"": [""これ"", ""この"", ""ここ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""それは ノート ___ 。""}]}, ""choices"": [""です"", ""ます"", ""あります""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""あれ ___ シャープペンシルです。""}]}, ""choices"": [""は"", ""を"", ""が""], ""answer"": 0}]"
2,2,Câu hỏi về đồ vật,N5,basic,これ／それ／あれ は なん ですか。,Cái này/đó/kia là cái gì?,Dùng khi muốn hỏi tên gọi của một đồ vật nào đó.,Sử dụng từ để hỏi なん (cái gì).,"[{""segments"": [{""text"": ""これは""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": ""ですか。""}], ""vi"": ""Đây là cái gì?""}, {""segments"": [{""text"": ""それは""}, {""kanji"": ""時計"", ""reading"": ""とけい""}, {""text"": ""です。""}], ""vi"": ""Đó là cái đồng hồ.""}]","[{""question"": {""segments"": [{""text"": ""あれは ___ ですか。""}]}, ""choices"": [""なん"", ""だれ"", ""どこ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""それは ""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": "" ___ か。""}]}, ""choices"": [""です"", ""は"", ""も""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""これ ___ ""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": ""ですか。""}]}, ""choices"": [""は"", ""の"", ""を""], ""answer"": 0}]"
2,3,Chỉ định từ bổ ngữ Kono/Sono/Ano,N5,basic,この N ／ その N ／ あの N,Cái N này/đó/kia,Dùng khi muốn nhấn mạnh vào một đồ vật hoặc một người cụ thể đang hiện hữu.,Theo sau các từ này bắt buộc phải là một danh từ.,"[{""segments"": [{""text"": ""この""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""はミンさんです。""}], ""vi"": ""Người này là bạn Minh.""}, {""segments"": [{""text"": ""あの""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""はホア""}, {""kanji"": ""先生"", ""reading"": ""せんせい""}, {""text"": ""です。""}], ""vi"": ""Người kia là cô Hoa.""}]","[{""question"": {""segments"": [{""text"": "" ___ ""}, {""kanji"": ""傘"", ""reading"": ""かさ""}, {""text"": ""は わたしのです。""}]}, ""choices"": [""この"", ""これ"", ""ここ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""あの ___ は どなたですか。""}]}, ""choices"": [""ひと"", ""は"", ""の""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""その電""}, {""kanji"": ""話"", ""reading"": ""わ""}, {""text"": "" ___ チャンさんのです。""}]}, ""choices"": [""は"", ""を"", ""が""], ""answer"": 0}]"
2,4,Xác nhận Đúng/Sai,N5,basic,そうです。／そうじゃありません。,Đúng vậy / Không phải vậy,Dùng để trả lời cho các câu hỏi nghi vấn mà kết thúc bằng danh từ.,"Trong giao tiếp có thể dùng ""いいえ、ちがいます"" để phủ định.","[{""segments"": [{""text"": ""それは""}, {""kanji"": ""辞書"", ""reading"": ""じしょ""}, {""text"": ""ですか。はい、そうです。""}], ""vi"": ""Đó là từ điển phải không? Vâng, đúng vậy.""}]","[{""question"": {""segments"": [{""text"": ""ミラーさんですか。いいえ、___。""}]}, ""choices"": [""そうじゃありません"", ""そうです"", ""です""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""それは ざっしですか。...はい、___。""}]}, ""choices"": [""そうです"", ""違います"", ""ありません""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""あれは ""}, {""kanji"": ""消"", ""reading"": ""け""}, {""text"": ""しゴムですか。...いいえ、___。カードです。""}]}, ""choices"": [""ちがいます"", ""そうです"", ""じゃありません""], ""answer"": 0}]"
