RadicalID,Character,SinoVietnamese,Meaning,StrokeCount
RAD-01,一,Nhất,"Một, thứ nhất, khởi đầu các số đo, thuộc về dương, bao quát hết thảy.",1
RAD-02,丨,Cổn,"Nét sổ, đường thẳng đứng trên thông xuống dưới.",1
RAD-03,丶,Chủ,"Nét chấm, một điểm.",1
RAD-04,丿,Phiệt,"Nét phảy, nét nghiêng từ phải qua trái, chỉ động tác.",1
RAD-05,乙,Ất,"Can thứ hai trong mười can (Giáp, ất , bính, đinh…).",1
RAD-06,亅,Quyết,"Nét sổ có móc, cái móc.",1
RAD-07,二,Nhị,"Số hai, số của đất, thuộc về âm.",2
RAD-08,亠,Đầu,"Không có nghĩa, thường là phần trên của một số chữ khác.",2
RAD-09,人,Nhân,"Người, có hai chân, là sinh vật đứng thẳng, còn có dạng nhân đứng 仁.",2
RAD-10,儿,Nhân (đi),"Người, như hình người đang đi.",2
RAD-11,入,Nhập,"Vào, tượng hình rễ cây đâm sâu vào đất.",2
RAD-12,八,Bát,"Nguyên nghĩa là phân chia, còn có nghĩa là số tám.",2
RAD-13,冂,Quynh,"Đất ở xa ngoài bờ cõi, như vòng tường bao quanh thành lũy.",2
RAD-14,冖,Mịch,"Khăn chùm lên đồ vật, che đậy, kín không nhìn thấy rõ.",2
RAD-15,冫,Băng,"Nước đóng băng, nước đá.",2
RAD-16,几,Kỷ,"Cái ghế, bảo thủ không biến đổi, ích kỷ.",2
RAD-17,凵,Khảm,"Há miệng, vật để đựng đồ như máng chậu đấu…",2
RAD-18,刀,Đao,Con dao hoặc hình thức khác 刂 thường đứng bên phải các bộ khác.,2
RAD-19,力,Lực,"Sức, như hình bàn tay đánh xuống.",2
RAD-20,勹,Bao,"Bọc, gói, khom lưng ôm một vật.",2
RAD-21,匕,Tỷ (bỉ),Cái thìa.,2
RAD-22,匚,Phương,"Đồ đựng, cái hộp, hình khoanh gỗ khoét ở giữa.",2
RAD-23,匸,Hễ (hệ),Che đậy (nét ngang trên phủ quá sang trái nét sổ vuông).,2
RAD-24,十,Thập,"Số mười, đầy đủ (Đông tây nam bắc trung cung đủ cả).",2
RAD-25,卜,Bốc,"Bói, giống như những vết nứt trên yếm rùa để xem hung cát…",2
RAD-26,卩,Tiết,"Đốt tre, một chi tiết nhỏ trong một sự vật hoặc hiện tượng.",2
RAD-27,厂,Hán,Chỗ sườn núi có mái che người xưa chọn làm chỗ ở.,2
RAD-28,厶,Tư,Riêng tư.,2
RAD-29,又,Hựu,"Cái tay bắt chéo, trở lại một lần nữa.",2
RAD-30,口,Khẩu,Miệng (hình cái miệng).,3
RAD-31,囗,Vi,"Vây quanh (phạm vi, gianh giới bao quanh).",3
RAD-32,土,Thổ,"Đất, gồm bộ nhị 二 với bộ cổn 丨 như hình cây mọc trên đất.",3
RAD-33,士,Sĩ,"Học trò, sĩ tử, những người nghiên cứu học vấn.",3
RAD-34,夊,Truy (Trĩ),Theo sau mà đến kịp người đi trước.,3
RAD-35,夂,Tuy,Dáng đi chậm.,3
RAD-36,夕,Tịch,Buổi tối (nửa chữ nguyệt - mặt trăng vừa mọc).,3
RAD-37,大,Đại,"Lớn, hình người dang rộng hai tay và chân.",3
RAD-38,女,Nữ,Con gái. Như người con gái chắp tay trước bụng.,3
RAD-39,子,Tử,Con. Hình đứa trẻ mới sinh ra cuốn tã lót không thấy chân.,3
RAD-40,宀,Miên,Mái nhà.,3
RAD-41,寸,Thốn,"Tấc, một phần mười của thước.",3
RAD-42,小,Tiểu,"Nhỏ bé, ít (còn nguyên thì to chia ra thì nhỏ).",3
RAD-43,尢,Uông,Què. Hình người đứng có chân không thẳng.,3
RAD-44,尸,Thi,"Thây người chết, Thi thể.",3
RAD-45,屮,Triệt,Cây cỏ mới mọc (mới đâm chồi có hai lá và rễ cây).,3
RAD-46,山,Sơn,Núi.,3
RAD-47,巛,Xuyên,"Sông, dòng sông có nhiều nhánh chảy vào.",3
RAD-48,工,Công,"Việc, người thợ (hình dụng cụ đo góc vuông).",3
RAD-49,己,Kỷ,Can thứ sáu trong mười can.,3
RAD-50,巾,Cân,Khăn (hình cái khăn cột ở thắt lưng hai đầu buông xuống).,3
RAD-51,干,Can,Phạm đến.,3
RAD-52,幺,Yêu,Nhỏ (hình đứa bé mới sinh).,3
RAD-53,广,Nghiễm,Nhân chỗ sườn núi làm nhà (chấm trên là nóc nhà).,3
RAD-54,廴,Dẫn,Đi xa (chữ 彳- xích là bước thêm nét dài để chỉ việc đi xa).,3
RAD-55,廾,Củng,Chấp hai tay cung kính.,3
RAD-56,弋,Dực (dặc),"Cái cọc, cột dây vào mũi tên mà bắn.",3
RAD-57,弓,Cung,Cái cung để bắn tên.,3
RAD-58,彐,Kệ (kí),Đầu con heo.,3
RAD-59,彡,Sam,Lông dài (đuôi sam).,3
RAD-60,彳,Xích,"Bước ngắn, bước chân trái.",3
RAD-61,心,Tâm,Tim (hình quả tim) cách viết khác: 忄.,4
RAD-62,戈,Qua,Cái kích bằng đầu.,4
RAD-63,戶,Hộ,Cửa một cánh.,4
RAD-64,手,Thủ,"Tay. Cách viết khác: 扌, 才.",4
RAD-65,支,Chi,Cành cây (Hựu 又- tay cùng nửa chữ trúc 竹).,4
RAD-66,攴,Phốc,"Đánh nhẹ, cách viết khác 攵.",4
RAD-67,文,Văn,Nét vẽ. Đường giao nhau.,4
RAD-68,斗,Đấu,"Cái đấu, đơn vị đo lường lương thực.",4
RAD-69,斤,Căn,Cái rìu (Hình cái rìu để đốn cây).,4
RAD-70,方,Phương,"Vuông, Phương hướng, phía.",4
RAD-71,旡,Vô,"Không, chữ: Không 無 xưa cũng viết như chữ 旡.",4
RAD-72,日,Nhật,"Mặt trời, ban ngày.",4
RAD-73,曰,Viết,"Nói rằng, miệng khi nói hở răng và phát ra hơi.",4
RAD-74,月,Nguyệt,"Mặt trăng, hình trăng khuyết, ban đêm có trăng.",4
RAD-75,木,Mộc,"Cây, gỗ (hình cây có cành và rễ).",4
RAD-76,欠,Khiếm,Há miệng hả hơi ra ngáp. Thiếu.,4
RAD-77,止,Chỉ,"Cái chân. Cái nền, thế đứng dừng lại.",4
RAD-78,歹,Ngạt,"Xương tàn, rã rượi, tan nát.",4
RAD-79,殳,Thù,"Cái gậy, Hình tay cầm gậy.",4
RAD-80,毋,Vô,"Chớ, đừng.",4
RAD-81,比,Tỉ(bỉ),"So sánh, so bì.",4
RAD-82,毛,Mao,"Lông, hình cộng lông có nhiều sợi.",4
RAD-83,氏,Thị,"Họ, ngành họ mạc trong một gia tộc.",4
RAD-84,气,Khí,"Hơi, khí mây làm thành mưa.",4
RAD-85,水,Thủy,"Nước, hình dòng nước chảy, cách viết khác: 氵.",4
RAD-86,火,Hỏa,"Lửa giống như ngọn lửa bốc cao, cách viết khác: 灬.",4
RAD-87,爪,Trảo,Móng vuốt.,4
RAD-88,父,Phụ,"Cha, tay cầm roi đánh dạy con cái.",4
RAD-89,爻,Hào,Giao nhau. Mỗi quẻ trong kinh dịch có sáu hào.,4
